description,duration,main_speaker,name,speaker_occupation,tags,title,views,index
"Accepting his 2006 TED Prize, Cameron Sinclair demonstrates how passionate designers and architects can respond to world housing crises. He unveils his TED Prize wish for a network to improve global living standards through collaborative design.",1414,Cameron Sinclair,Cameron Sinclair: My wish: A call for open-source architecture,"Co-founder, Architecture for Humanity","['activism', 'architecture', 'collaboration', 'culture', 'design', 'disaster relief', 'global issues', 'invention', 'open-source', 'philanthropy']",My wish: A call for open-source architecture,1211416,11
Jehane Noujaim unveils her 2006 TED Prize wish: to bring the world together for one day a year through the power of film.,1538,Jehane Noujaim,Jehane Noujaim: My wish: A global day of film,Filmmaker,"['TED Prize', 'art', 'culture', 'entertainment', 'film', 'global issues', 'movies', 'peace', 'social change', 'storytelling']",My wish: A global day of film,387877,12
"Accepting the 2006 TED Prize, Dr. Larry Brilliant talks about how smallpox was eradicated from the planet, and calls for a new global system that can identify and contain pandemics before they spread.",1550,Larry Brilliant,Larry Brilliant: My wish: Help me stop pandemics,"Epidemiologist, philanthropist","['TED Prize', 'collaboration', 'disease', 'ebola', 'global issues', 'health', 'science', 'technology']",My wish: Help me stop pandemics,693341,13
"Jeff Han shows off a cheap, scalable multi-touch and pressure-sensitive computer screen interface that may spell the end of point-and-click.",527,Jeff Han,Jeff Han: The radical promise of the multi-touch interface,Human-computer interface designer,"['demo', 'design', 'interface design', 'technology']",The radical promise of the multi-touch interface,4531020,14
"Nicholas Negroponte, founder of the MIT Media Laboratory, describes how the One Laptop Per Child project will build and distribute the ""$100 laptop.""",1057,Nicholas Negroponte,Nicholas Negroponte: One Laptop per Child,Tech visionary,"['children', 'design', 'education', 'entrepreneur', 'global issues', 'philanthropy', 'social change', 'technology']",One Laptop per Child,358304,15
"Violinist Sirena Huang gives a technically brilliant and emotionally nuanced performance. In a charming interlude, the 11-year-old praises the timeless design of her instrument.",1481,Sirena Huang,Sirena Huang: An 11-year-old's magical violin,Violinist,"['entertainment', 'music', 'performance', 'violin', 'wunderkind', 'youth']",An 11-year-old's magical violin,2702470,16
"Pianist and composer Jennifer Lin gives a magical performance, talks about the process of creativity and improvises a moving solo piece based on a random sequence of notes.",1445,Jennifer Lin,"Jennifer Lin: Improvising on piano, aged 14","Pianist, composer","['creativity', 'entertainment', 'music', 'performance', 'piano', 'wunderkind']","Improvising on piano, aged 14",1628912,17
Fumes from indoor cooking fires kill more than 2 million children a year in the developing world. MIT engineer Amy Smith details an exciting but simple solution: a tool for turning farm waste into clean-burning charcoal.,906,Amy Smith,Amy Smith: Simple designs to save a life,"inventor, engineer","['MacArthur grant', 'alternative energy', 'design', 'engineering', 'global issues', 'industrial design', 'invention', 'simplicity']",Simple designs to save a life,1415724,18
"Designer Ross Lovegrove expounds his philosophy of ""fat-free"" design and offers insight into several of his extraordinary products, including the Ty Nant water bottle and the Go chair.",1170,Ross Lovegrove,"Ross Lovegrove: Organic design, inspired by nature",Industrial designer,"['DNA', 'biology', 'creativity', 'design', 'industrial design', 'invention', 'nature', 'product design', 'science and art']","Organic design, inspired by nature",1074081,19
"Jimmy Wales recalls how he assembled ""a ragtag band of volunteers,"" gave them tools for collaborating and created Wikipedia, the self-organizing, self-correcting, never-finished online encyclopedia.",1201,Jimmy Wales,Jimmy Wales: The birth of Wikipedia,Founder of Wikipedia,"['business', 'collaboration', 'culture', 'invention', 'media', 'open-source', 'technology', 'wikipedia']",The birth of Wikipedia,1106561,20
"In 2006, open-learning visionary Richard Baraniuk explains the vision behind Connexions (now called OpenStax), an open-source, online education system. It cuts out the textbook, allowing teachers to share and modify course materials freely, anywhere in the world.",1114,Richard Baraniuk,Richard Baraniuk: The birth of the open-source learning revolution,Education visionary,"['business', 'collaboration', 'culture', 'global issues', 'library', 'open-source', 'technology']",The birth of the open-source learning revolution,966439,21
"Performer and web toymaker Ze Frank delivers a hilarious nerdcore standup routine, then tells us what he's seriously passionate about: helping people create and interact using simple, addictive web tools.",1136,Ze Frank,Ze Frank: Nerdcore comedy,"Humorist, web artist","['collaboration', 'comedy', 'community', 'culture', 'dance', 'demo', 'entertainment', 'humor', 'performance', 'software']",Nerdcore comedy,6141440,22
"The founding mother of the blog revolution, Movable Type's Mena Trott, talks about the early days of blogging, when she realized that giving regular people the power to share our lives online is the key to building a friendlier, more connected world.",1006,Mena Trott,Mena Trott: Meet the founder of the blog revolution,"Blogger; cofounder, Six Apart","['business', 'communication', 'community', 'culture', 'design', 'entertainment', 'software', 'storytelling']",Meet the founder of the blog revolution,518624,23
"Anthropologist Helen Fisher takes on a tricky topic – love – and explains its evolution, its biochemical foundations and its social importance. She closes with a warning about the potential disaster inherent in antidepressant abuse.",1407,Helen Fisher,"Helen Fisher: Why we love, why we cheat","Anthropologist, expert on love","['cognitive science', 'culture', 'evolution', 'gender', 'love', 'psychology', 'relationships', 'science']","Why we love, why we cheat",9260764,24
"Eve Ensler, creator of ""The Vagina Monologues,"" shares how a discussion about menopause with her friends led to talking about all sorts of sexual acts onstage, waging a global campaign to end violence toward women and finding her own happiness.",1225,Eve Ensler,Eve Ensler: Happiness in body and soul,"Playwright, activist","['culture', 'entertainment', 'gender', 'global issues', 'happiness', 'performance', 'storytelling', 'theater', 'women']",Happiness in body and soul,1131864,25
"Legendary scientist David Deutsch puts theoretical physics on the back burner to discuss a more urgent matter: the survival of our species. The first step toward solving global warming, he says, is to admit that we have a problem.",1140,David Deutsch,David Deutsch: Chemical scum that dream of distant quasars,Quantum physicist,"['climate change', 'cosmos', 'culture', 'environment', 'global issues', 'physics', 'science', 'technology', 'universe']",Chemical scum that dream of distant quasars,1096862,26
"Biologist Richard Dawkins makes a case for ""thinking the improbable"" by looking at how the human frame of reference limits our understanding of the universe.",1316,Richard Dawkins,Richard Dawkins: Why the universe seems so strange,Evolutionary biologist,"['astronomy', 'biology', 'cognitive science', 'cosmos', 'evolution', 'physics', 'psychology', 'science']",Why the universe seems so strange,2885999,27
"""Freakonomics"" author Steven Levitt presents new data on the finances of drug dealing. Contrary to popular myth, he says, being a street-corner crack dealer isn't lucrative: It pays below minimum wage. And your boss can kill you.",1275,Steven Levitt,Steven Levitt: The freakonomics of crack dealing,Economist,"['business', 'cities', 'culture', 'economics', 'narcotics', 'race']",The freakonomics of crack dealing,2863214,28
"""Tipping Point"" author Malcolm Gladwell gets inside the food industry's pursuit of the perfect spaghetti sauce -- and makes a larger argument about the nature of choice and happiness.",1050,Malcolm Gladwell,"Malcolm Gladwell: Choice, happiness and spaghetti sauce",Writer,"['business', 'choice', 'consumerism', 'culture', 'economics', 'food', 'marketing', 'media', 'storytelling']","Choice, happiness and spaghetti sauce",7023562,29
"Dan Gilbert, author of ""Stumbling on Happiness,"" challenges the idea that we’ll be miserable if we don’t get what we want. Our ""psychological immune system"" lets us feel truly happy even when things don’t go as planned.",1276,Dan Gilbert,Dan Gilbert: The surprising science of happiness,Psychologist; happiness expert,"['TED Brain Trust', 'brain', 'choice', 'culture', 'evolution', 'happiness', 'psychology', 'science']",The surprising science of happiness,14689301,30
"Psychologist Barry Schwartz takes aim at a central tenet of western societies: freedom of choice. In Schwartz's estimation, choice has made us not freer but more paralyzed, not happier but more dissatisfied.",1177,Barry Schwartz,Barry Schwartz: The paradox of choice,Psychologist,"['business', 'choice', 'culture', 'decision-making', 'economics', 'happiness', 'personal growth', 'potential', 'psychology']",The paradox of choice,10000702,31
Eva Vertes -- only 19 when she gave this talk -- discusses her journey toward studying medicine and her drive to understand the roots of cancer and Alzheimer’s.,1129,Eva Vertes,Eva Vertes: Meet the future of cancer research,Neuroscience and cancer researcher,"['cancer', 'disease', 'health', 'science', 'technology', 'wunderkind']",Meet the future of cancer research,1030267,32
"Cambridge researcher Aubrey de Grey argues that aging is merely a disease -- and a curable one at that. Humans age in seven basic ways, he says, all of which can be averted.",1365,Aubrey de Grey,Aubrey de Grey: A roadmap to end aging,Crusader against aging,"['aging', 'biotech', 'disease', 'engineering', 'future', 'health care', 'science', 'technology']",A roadmap to end aging,3277740,33
"Iqbal Quadir tells how his experiences as a kid in poor Bangladesh, and later as a banker in New York, led him to start a mobile phone operator connecting 80 million rural Bangladeshi -- and to become a champion of bottom-up development.",952,Iqbal Quadir,Iqbal Quadir: How mobile phones can fight poverty,"Founder, GrameenPhone","['alternative energy', 'business', 'communication', 'culture', 'global development', 'global issues', 'invention', 'investment', 'microfinance', 'poverty', 'technology', 'telecom', 'transportation']",How mobile phones can fight poverty,503517,34
"Jacqueline Novogratz applauds the world's heightened interest in Africa and poverty, but argues persuasively for a new approach.",773,Jacqueline Novogratz,Jacqueline Novogratz: Invest in Africa's own solutions,Investor and advocate for moral leadership,"['Africa', 'TED Brain Trust', 'business', 'culture', 'entrepreneur', 'global development', 'investment', 'microfinance', 'philanthropy', 'poverty']",Invest in Africa's own solutions,705389,35
"A free press -- papers, magazines, radio, TV, blogs -- is the backbone of any true democracy (and a vital watchdog on business). Sasa Vucinic, a journalist from Belgrade, talks about his new fund, which supports media by selling ""free press bonds.""",1080,Sasa Vucinic,Sasa Vucinic: Why we should invest in a free press,Nonprofit venture capitalist,"['business', 'culture', 'global issues', 'investment', 'media', 'philanthropy']",Why we should invest in a free press,580891,36
"Ashraf Ghani's passionate and powerful 10-minute talk, emphasizing the necessity of both economic investment and design ingenuity to rebuild broken states, is followed by a conversation with TED curator Chris Anderson on the future of Afghanistan.",1125,Ashraf Ghani,Ashraf Ghani: How to rebuild a broken state,President-elect of Afghanistan,"['business', 'corruption', 'culture', 'economics', 'entrepreneur', 'global development', 'global issues', 'investment', 'military', 'policy', 'politics', 'poverty']",How to rebuild a broken state,809226,37
"In this passionate talk, legendary spacecraft designer Burt Rutan lambasts the US government-funded space program for stagnating and asks entrepreneurs to pick up where NASA has left off.",1177,Burt Rutan,Burt Rutan: The real future of space exploration,Aircraft engineer,"['NASA', 'aircraft', 'business', 'design', 'engineering', 'entrepreneur', 'flight', 'industrial design', 'invention', 'rocket science']",The real future of space exploration,2028451,38
"Arctic explorer Ben Saunders recounts his harrowing solo ski trek to the North Pole, complete with engaging anecdotes, gorgeous photos and never-before-seen video.",1083,Ben Saunders,Ben Saunders: Why did I ski to the North Pole?,Arctic explorer,"['climate change', 'culture', 'exploration', 'global issues', 'personal growth', 'potential', 'sports', 'technology', 'travel']",Why did I ski to the North Pole?,745231,39
"Musician and activist Bono accepts the 2005 TED Prize with a riveting talk, arguing that aid to Africa isn't just another celebrity cause; it's a global emergency.",1672,Bono,Bono: My wish: Three actions for Africa,"Musician, activist","['AIDS', 'Africa', 'activism', 'entertainment', 'global issues', 'philanthropy', 'poverty', 'social change']",My wish: Three actions for Africa,718649,40
"Accepting his 2005 TED Prize, photographer Edward Burtynsky makes a wish: that his images -- stunning landscapes that document humanity's impact on the world -- help persuade millions to join a global conversation on sustainability.",2065,Edward Burtynsky,Edward Burtynsky: My wish: Manufactured landscapes and green education,Photographer,"['TED Prize', 'art', 'cities', 'culture', 'design', 'environment', 'photography', 'pollution', 'social change']",My wish: Manufactured landscapes and green education,975107,41
"Accepting his 2005 TED Prize, inventor Robert Fischell makes three wishes: redesigning a portable device that treats migraines, finding new cures for clinical depression and reforming the medical malpractice system.",1609,Robert Fischell,Robert Fischell: My wish: Three unusual medical inventions,Biomedical inventor,"['TED Prize', 'business', 'disease', 'health care', 'invention', 'medicine', 'science', 'technology']",My wish: Three unusual medical inventions,382996,42
Oxford mathematician Peter Donnelly reveals the common mistakes humans make in interpreting statistics -- and the devastating impact these errors can have on the outcome of criminal trials.,1280,Peter Donnelly,Peter Donnelly: How juries are fooled by statistics,Mathematician; statistician,"['culture', 'genetics', 'science', 'statistics', 'technology']",How juries are fooled by statistics,1053758,43
"Why do people see the Virgin Mary on a cheese sandwich or hear demonic lyrics in ""Stairway to Heaven""? Using video and music, skeptic Michael Shermer shows how we convince ourselves to believe -- and overlook the facts.",805,Michael Shermer,Michael Shermer: Why people believe weird things,Skeptic,"['culture', 'entertainment', 'faith', 'illusion', 'religion', 'science']",Why people believe weird things,5364639,44
"Inventor, entrepreneur and visionary Ray Kurzweil explains in abundant, grounded detail why, by the 2020s, we will have reverse-engineered the human brain and nanobots will be operating your consciousness.",1376,Ray Kurzweil,Ray Kurzweil: The accelerating power of technology,"Inventor, futurist","['TED Brain Trust', 'biotech', 'business', 'culture', 'future', 'invention', 'robots', 'science', 'technology']",The accelerating power of technology,2434344,45
"Tech enthusiast Kevin Kelly asks ""What does technology want?"" and discovers that its movement toward ubiquity and complexity is much like the evolution of life.",1200,Kevin Kelly,Kevin Kelly: How technology evolves,Digital visionary,"['choice', 'culture', 'evolution', 'future', 'history', 'philosophy', 'science', 'technology']",How technology evolves,1536873,46
Musician and activist Peter Gabriel shares his very personal motivation for standing up for human rights with the watchdog group WITNESS -- and tells stories of citizen journalists in action.,848,Peter Gabriel,Peter Gabriel: Fight injustice with raw video,"Musician, activist","['TED Brain Trust', 'activism', 'art', 'collaboration', 'culture', 'film', 'global issues', 'music', 'social change', 'storytelling']",Fight injustice with raw video,904215,47
Why do people succeed? Is it because they're smart? Or are they just lucky? Neither. Analyst Richard St. John condenses years of interviews into an unmissable 3-minute slideshow on the real secrets of success.,210,Richard St. John,Richard St. John: 8 secrets of success,"Marketer, success analyst","['business', 'culture', 'entertainment', 'happiness', 'psychology', 'success', 'work']",8 secrets of success,10841210,48
"How many poets could cram eBay, Friendster and Monster.com into 3-minute poem worthy of a standing ovation? Enjoy Rives' unique talent.",247,Rives,Rives: If I controlled the Internet,"Performance poet, multimedia artist","['culture', 'entertainment', 'love', 'performance', 'philosophy', 'poetry']",If I controlled the Internet,1813665,49
Forget the latest disease in the news: Cardiovascular disease kills more people than everything else combined -- and it’s mostly preventable. Dr. Dean Ornish explains how changing our eating habits can save lives.,198,Dean Ornish,Dean Ornish: The killer American diet that's sweeping the planet,"Physician, author","['culture', 'disease', 'food', 'global issues', 'health', 'health care', 'obesity', 'science']",The killer American diet that's sweeping the planet,2299265,50
"Robert Neuwirth, author of ""Shadow Cities,"" finds the world's squatter sites -- where a billion people now make their homes -- to be thriving centers of ingenuity and innovation. He takes us on a tour.",843,Robert Neuwirth,Robert Neuwirth: The hidden world of shadow cities,Author,"['business', 'cities', 'culture', 'entrepreneur', 'future', 'global development', 'global issues', 'policy', 'poverty', 'social change']",The hidden world of shadow cities,673036,51
"Given $50 billion to spend, which would you solve first, AIDS or global warming? Danish political scientist Bjorn Lomborg comes up with surprising answers.",1001,Bjorn Lomborg,Bjorn Lomborg: Global priorities bigger than climate change,Global prioritizer,"['AIDS', 'Africa', 'business', 'choice', 'climate change', 'culture', 'disaster relief', 'economics', 'environment', 'future']",Global priorities bigger than climate change,1391142,52
"With stunning photos and stories, National Geographic Explorer Wade Davis celebrates the extraordinary diversity of the world's indigenous cultures, which are disappearing from the planet at an alarming rate.",1321,Wade Davis,Wade Davis: Dreams from endangered cultures,"Anthropologist, ethnobotanist","['anthropology', 'culture', 'environment', 'film', 'global issues', 'language', 'photography']",Dreams from endangered cultures,2532851,53
"Photographer Phil Borges shows rarely seen images of people from the mountains of Dharamsala, India, and the jungles of the Ecuadorean Amazon. In documenting these endangered cultures, he intends to help preserve them.",1115,Phil Borges,Phil Borges: Photos of endangered cultures,Photographer,"['activism', 'art', 'culture', 'design', 'film', 'global issues', 'photography', 'social change', 'storytelling']",Photos of endangered cultures,882034,54
"Speaking as both an astronomer and ""a concerned member of the human race,"" Sir Martin Rees examines our planet and its future from a cosmic perspective. He urges action to prevent dark consequences from our scientific and technological development.",1046,Martin Rees,Martin Rees: Is this our final century?,Astrophysicist,"['astronomy', 'climate change', 'complexity', 'cosmos', 'science', 'social change', 'technology', 'time', 'universe']",Is this our final century?,2121177,55
"Author Robert Wright explains ""non-zero-sumness"" -- the network of linked fortunes and cooperation that has guided our evolution to this point -- and how we can use it to help save humanity today.",1151,Robert Wright,Robert Wright: Progress is not a zero-sum game,"Journalist, philosopher","['collaboration', 'culture', 'evolutionary psychology', 'global issues', 'war']",Progress is not a zero-sum game,1090180,56
"Author Steven Johnson takes us on a 10-minute tour of <i>The Ghost Map</i>, his book about a cholera outbreak in 1854 London and the impact it had on science, cities and modern society.",603,Steven Johnson,"Steven Johnson: How the ""ghost map"" helped end a killer disease",Writer,"['cities', 'culture', 'design', 'disease', 'health', 'history', 'map', 'science', 'urban planning']","How the ""ghost map"" helped end a killer disease",684519,57
"In this deceptively casual talk, Charles Leadbeater weaves a tight argument  that innovation isn't just for professionals anymore. Passionate amateurs, using new tools, are creating products and paradigms that companies can't.",1141,Charles Leadbeater,Charles Leadbeater: The era of open innovation,Innovation consultant,"['business', 'collaboration', 'culture', 'economics', 'innovation', 'invention', 'media', 'open-source', 'product design']",The era of open innovation,1409327,58
"Two Pilobolus dancers perform ""Symbiosis."" Does it trace the birth of a relationship? Or the co-evolution of symbiotic species? Music: ""God Music,"" George Crumb; ""Fratres,"" Arvo Part; ""Morango...Almost a Tango,"" Thomas Oboe Lee.",825,Pilobolus,"Pilobolus: A dance of ""Symbiosis""",Dance company,"['dance', 'entertainment', 'nature', 'performance', 'science', 'science and art']","A dance of ""Symbiosis""",3051507,59
"Writer and actor Anna Deavere Smith gives life to author Studs Terkel, convict Paulette Jenkins, a Korean shopkeeper and a bull rider, excerpts from her solo show ""On the Road: A Search for American Character.""",1385,Anna Deavere Smith,Anna Deavere Smith: Four American characters,"Actor, playwright, social critic","['MacArthur grant', 'United States', 'culture', 'entertainment', 'history', 'interview', 'performance', 'performance art', 'race', 'sports', 'storytelling', 'theater']",Four American characters,978825,60
"Inventor and MacArthur fellow Saul Griffith shares some innovative ideas from his lab -- from ""smart rope"" to a house-sized kite for towing large loads.",869,Saul Griffith,Saul Griffith: Everyday inventions,Inventor,"['MacArthur grant', 'collaboration', 'design', 'innovation', 'invention', 'materials', 'open-source', 'product design', 'technology']",Everyday inventions,442553,61
MIT professor Neil Gershenfeld talks about his Fab Lab -- a low-cost lab that lets people build things they need using digital and analog tools. It's a simple idea with powerful results.,1038,Neil Gershenfeld,Neil Gershenfeld: Unleash your creativity in a Fab Lab,"Physicist, personal fab pioneer","['code', 'computers', 'culture', 'education', 'engineering', 'invention', 'materials', 'science', 'social change', 'technology']",Unleash your creativity in a Fab Lab,691814,62
"Journalist Carl Honore believes the Western world's emphasis on speed erodes health, productivity and quality of life. But there's a backlash brewing, as everyday people start putting the brakes on their all-too-modern lives.",1155,Carl Honoré,Carl Honoré: In praise of slowness,Journalist,"['choice', 'culture', 'happiness', 'health', 'parenting', 'personal growth', 'potential', 'psychology', 'work-life balance']",In praise of slowness,2441805,63
"Accepting the 2007 TED Prize, Bill Clinton asks for help in bringing health care to Rwanda -- and the rest of the world.",1447,Bill Clinton,Bill Clinton: My wish: Rebuilding Rwanda,Activist,"['Africa', 'TED Prize', 'business', 'culture', 'economics', 'global issues', 'health care', 'technology']",My wish: Rebuilding Rwanda,849859,64
"As E.O. Wilson accepts his 2007 TED Prize, he makes a plea on behalf of all creatures that we learn more about our biosphere -- and build a networked encyclopedia of all the world's knowledge about life.",1355,E.O. Wilson,E.O. Wilson: My wish: Build the Encyclopedia of Life,Biologist,"['TED Prize', 'ants', 'biodiversity', 'biology', 'ecology', 'global issues', 'insects', 'nature', 'science', 'technology']",My wish: Build the Encyclopedia of Life,1335732,65
"Accepting his 2007 TED Prize, war photographer James Nachtwey shows his life's work and asks TED to help him continue telling the story with innovative, exciting uses of news photography in the digital era.",1316,James Nachtwey,James Nachtwey: My wish: Let my photographs bear witness,Photojournalist,"['activism', 'art', 'culture', 'global issues', 'media', 'photography', 'poverty', 'social change', 'storytelling', 'war']",My wish: Let my photographs bear witness,1262674,66
"Jane Goodall hasn't found the missing link, but she's come closer than nearly anyone else. The primatologist says the only real difference between humans and chimps is our sophisticated language. She urges us to start using it to change the world.",1645,Jane Goodall,Jane Goodall: What separates us from chimpanzees?,Primatologist; environmentalist,"['Africa', 'animals', 'culture', 'environment', 'global issues', 'nature', 'primates', 'science']",What separates us from chimpanzees?,1663001,67
"In a world of too many options and too little time, our obvious choice is to just ignore the ordinary stuff. Marketing guru Seth Godin spells out why, when it comes to getting our attention, bad or bizarre ideas are more successful than boring ones.",1021,Seth Godin,Seth Godin: How to get your ideas to spread,Marketer and author,"['TED Brain Trust', 'business', 'choice', 'culture', 'marketing', 'storytelling']",How to get your ideas to spread,5570544,68
"Nobel laureate James Watson opens TED2005 with the frank and funny story of how he and his research partner, Francis Crick, discovered the structure of DNA.",1211,James Watson,James Watson: How we discovered DNA,"Biologist, Nobel laureate","['DNA', 'culture', 'genetics', 'history', 'invention', 'science', 'storytelling', 'technology']",How we discovered DNA,1520908,69
"Al Seckel, a cognitive neuroscientist, explores the perceptual illusions that fool our brains. Loads of eye tricks help him prove that not only are we easily fooled, we kind of like it.",873,Al Seckel,Al Seckel: Visual illusions that show how we (mis)think,Master of visual illusions,"['brain', 'cognitive science', 'culture', 'design', 'illusion', 'psychology']",Visual illusions that show how we (mis)think,2138907,70
Inventor Dean Kamen lays out his argument for the Segway and offers a peek into his next big ideas (portable energy and water purification for developing countries).,1207,Dean Kamen,Dean Kamen: To invent is to give,Inventor,"['business', 'cars', 'industrial design', 'innovation', 'invention', 'robots', 'science', 'social change', 'sustainability', 'technology', 'transportation']",To invent is to give,680134,71
"Scientific discoveries, futurist Juan Enriquez notes, demand a shift in code, and our ability to thrive depends on our mastery of that code. Here, he applies this notion to the field of genomics.",1340,Juan Enriquez,Juan Enriquez: The life code that will reshape the future,Futurist,"['DNA', 'TED Brain Trust', 'biotech', 'business', 'culture', 'genetics', 'invention', 'science', 'technology']",The life code that will reshape the future,690928,72
Graphic designer Stefan Sagmeister takes the audience on a whimsical journey through moments of his life that made him happy -- and notes how many of these moments have to do with good design.,930,Stefan Sagmeister,Stefan Sagmeister: Happiness by design,Graphic designer,"['TED Brain Trust', 'art', 'design', 'happiness', 'typography']",Happiness by design,1762302,73
"Worldchanging.com founder Alex Steffen argues that reducing humanity’s ecological footprint is incredibly vital now, as the western consumer lifestyle spreads to developing countries.",1054,Alex Steffen,Alex Steffen: The route to a sustainable future,Planetary futurist,"['alternative energy', 'business', 'cities', 'collaboration', 'culture', 'design', 'environment', 'global issues', 'invention', 'sustainability']",The route to a sustainable future,1392010,74
"Architect Thom Mayne has never been one to take the easy option, and this whistle-stop tour of the buildings he's created makes you glad for it. These are big ideas cast in material form.",1240,Thom Mayne,Thom Mayne: How architecture can connect us,Architect,"['architecture', 'cities', 'culture', 'design', 'invention']",How architecture can connect us,660909,75
"American designer Chris Bangle explains his philosophy that car design is an art form in its own right, with an entertaining -- and ultimately moving -- account of the BMW Group's Deep Blue project, intended to create the SUV of the future.",1204,Chris Bangle,Chris Bangle: Great cars are great art,Car designer,"['art', 'business', 'cars', 'design', 'industrial design', 'invention', 'technology', 'transportation']",Great cars are great art,867495,76
"Nora York gives a stunning performance of her song ""What I Want,"" with Jamie Lawrence (keyboards), Steve Tarshis (guitar) and Arthur Kell (bass).",276,Nora York,"Nora York: Singing ""What I Want""","Singer, performance artist","['entertainment', 'live music', 'music', 'performance', 'poetry', 'singer']","Singing ""What I Want""",395769,77
"Showing a series of inspiring, unusual and playful products, British branding and design guru Paul Bennett explains that design doesn't have to be about grand gestures, but can solve small, universal and overlooked problems.",850,Paul Bennett,Paul Bennett: Design is in the details,"Designer; creative director, Ideo","['business', 'design', 'industrial design', 'product design']",Design is in the details,761930,78
"Vik Muniz makes art from pretty much anything, be it shredded paper, wire, clouds or diamonds. Here he describes the thinking behind his work and takes us on a tour of his incredible images.",891,Vik Muniz,"Vik Muniz: Art with wire, sugar, chocolate and string",Artist,"['Brazil', 'animation', 'art', 'creativity', 'design', 'illusion']","Art with wire, sugar, chocolate and string",1149090,79
Oxford philosopher and transhumanist Nick Bostrom examines the future of humankind and asks whether we might alter the fundamental nature of humanity to solve our most intrinsic problems.,1012,Nick Bostrom,Nick Bostrom: A philosophical quest for our biggest problems,Philosopher,"['biotech', 'culture', 'future', 'global issues', 'happiness', 'philosophy', 'technology']",A philosophical quest for our biggest problems,762264,80
